"","Observed.score","Pvalue","Adjusted.Pvalue","FDR"
"GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",0.266375079028769,0,0,1
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP",0.241679891364092,0,0,1
"GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_DN",0.263373338448141,0,0,1
"GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP",0.25846305367428,0,0,1
"GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP",0.241134890040133,0,0,1
"GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_DN",0.232577302938172,0,0,1
"GSE15659_NAIVE_VS_PTPRC_NEG_CD4_TCELL_UP",-0.314642639887219,0,0,1
"GSE15930_STIM_VS_STIM_AND_IL-12_24H_CD8_T_CELL_DN",0.233436868577126,0,0,1
"GSE15930_STIM_VS_STIM_AND_IL-12_72H_CD8_T_CELL_DN",0.2711094205338,0,0,1
"GSE17721_CTRL_VS_POLYIC_12H_BMDM_UP",0.244469904296097,0,0,1
"GSE17721_CTRL_VS_CPG_2H_BMDM_UP",0.231635026874631,0,0,1
"GSE17721_PAM3CSK4_VS_CPG_16H_BMDM_DN",-0.34156650030745,0,0,1
"GSE17721_PAM3CSK4_VS_GADIQUIMOD_6H_BMDM_UP",0.283477869061644,0,0,1
"GSE17721_LPS_VS_CPG_0.5H_BMDM_DN",-0.327806843873228,0,0,1
"GSE17974_0H_VS_1H_IN_VITRO_ACT_CD4_TCELL_UP",-0.332898513630055,0,0,1
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN",-0.341616808133249,0,0,1
"GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_DN",0.218666394714799,0,0,1
"GSE20366_CD103_POS_VS_NEG_TREG_KLRG1NEG_UP",-0.339774024423027,0,0,1
"GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP",-0.343869099076057,0,0,1
"GSE27786_LSK_VS_CD8_TCELL_DN",0.224260111462429,0,0,1
"GSE27786_ERYTHROBLAST_VS_MONO_MAC_DN",-0.34504205787049,0,0,1
"GSE29618_MONOCYTE_VS_MDC_UP",-0.297012196801783,0,0,1
"GSE31082_DN_VS_DP_THYMOCYTE_UP",-0.321704489391826,0,0,1
"GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP",-0.305234465404416,0,0,1
"GSE360_CTRL_VS_L_MAJOR_MAC_UP",0.277000368724839,0,0,1
"GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_UP",-0.335676816483521,0,0,1
"GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.245772038793401,0,0,1
"GSE3982_MAST_CELL_VS_BASOPHIL_UP",0.258940143761096,0,0,1
"GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_DN",0.255273208609396,0,0,1
"GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_TREATED_CD4_TCELL_DN",-0.357396167259045,0,0,1
"GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_DN",-0.352192018804639,0,0,1
"GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP",0.232030701059467,0,0,1
"GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_UP",-0.324887974513937,0,0,1
"GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP",-0.336315418124231,0,0,1
"GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_DN",0.251612162532794,0,0,1
"GSE3720_UNSTIM_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_DN",0.264111084775589,0,0,1
"GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_DN",-0.333196791145084,0,0,1
"GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP",0.256503502345705,0,0,1
"GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP",-0.325077631880037,0,0,1
"GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN",0.268284078228739,0,0,1
"GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP",-0.310920008269324,0,0,1
"GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP",0.30105171087893,0,0,1
"GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_DN",0.227233047252322,0,0,1
"GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_DN",-0.306220384350957,0,0,1
"GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN",0.251615010686947,0,0,1
"GSE15624_CTRL_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_DN",0.246721029967311,0,0,1
"GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP",0.280437667100154,0,0,1
"GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN",-0.304285630427353,0,0,1
"GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP",-0.345976507784809,0,0,1
"GSE21033_CTRL_VS_POLYIC_STIM_DC_24H_DN",0.227648636009703,0,0,1
"GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_UP",0.24635015398857,0,0,1
"GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_DN",0.24757881649037,0,0,1
"GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP",-0.295339634071753,0,0,1
"GSE23925_DARK_ZONE_VS_NAIVE_BCELL_UP",0.232435489197428,0,0,1
"GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP",0.267747338803108,0,0,1
